id,type,category,name,asset_category,fileid,posx,posy,posz,anglex,angley,anglez,desc
1,normal;0,normal;0,M4Gun_FPS,assetobject;1,f8b19c9a8497d094db7402404ea19da7:188224,0,0,0,0,0,0,ÃèÊö
2,normal;0,normal;0,human,assetobject;1,af525e23d4824504faf2c439ce237022:143814,0,0,0,0,0,0,ÃèÊö
3,normal;0,normal;0,impat_wall,assetobject;1,49bf48ba700479647a677df065f772f3:100000,0,0,0,0,0,0,ÃèÊö
4,normal;0,normal;0,BloodFX,assetobject;1,e19dc9e10917c7e47a3ff242a10abac6:100000,0,0,0,0,0,0,ÃèÊö
5,normal;0,normal;0,lootbox1,assetobject;1,b3c80b9b1eb031247a528b821c753e8b:186818,0,0,0,0,0,0,ÃèÊö
6,normal;0,normal;0,basemodel,assetobject;1,53d344e8499846d4aabd95ae6ab5c41f:170376,0,0,0,0,0,0,ÃèÊö
7,normal;0,normal;0,bullethole,assetobject;1,3c9e98c565465a94b93b25c9824f8919:191252,0,0,0,0,0,0,ÃèÊö
8,normal;0,normal;0,hitwall1,assetobject;1,8d818e495c3758346aa45407ff5fb09f:118546,0,0,0,0,0,0,ÃèÊö
9,normal;0,normal;0,hitwall2,assetobject;1,cc8c288decffd8d4b86a5f3af66ed3fe:198304,0,0,0,0,0,0,ÃèÊö
10,normal;0,normal;0,hit,assetobject;1,2588c582a31f10b448f7d62aa02198e5:189436,0,0,0,0,0,0,ÃèÊö
11,normal;0,normal;0,p228_shoot,assetobject;1,a18b845cff6b0d445b1e3dcc0fcac1f9:194658,0,0,0,0,0,0,ÃèÊö
12,normal;0,normal;0,handgun1,assetobject;1,0566eef33ed32a94abd593c5f38d70d8:138400,0,0,0,0,0,0,ÃèÊö
13,normal;0,normal;0,knife1,assetobject;1,d3523ade88d6e694a9236c47607e8879:118006,0,0,0,0,0,0,ÃèÊö
14,normal;0,normal;0,assault_rifle1,assetobject;1,53a600c32876e634e8380bcfce86e341:153098,0,0,0,0,0,0,ÃèÊö
15,normal;0,normal;0,Zombies,assetobject;1,cc40e8d377d2835469ae31efa3cc0f5c:197910,0,0,0,0,0,0,ÃèÊö
16,normal;0,normal;0,nameItem,assetobject;1,c592acc6912a3eb4d85acb68bf46dc2c:104830,0,0,0,0,0,0,ÃèÊö
17,normal;0,normal;0,ScorePanel,assetobject;1,7bf5e6b719315b942995c70d0e030ecf:186014,0,0,0,0,0,0,ÃèÊö
18,normal;0,normal;0,deathmsg,assetobject;1,cbb6fbab995ef864daee18c4e352a92c:168994,0,0,0,0,0,0,ÃèÊö
19,normal;0,normal;0,gun2,assetobject;1,194c0ebeb2da893409787d4c6fedeb4c:21300002,0,0,0,0,0,0,ÃèÊö
20,normal;0,normal;0,deathmsg00,assetobject;1,db4899f2ed99a244db7f26d9e770fc4d:151314,0,0,0,0,0,0,ÃèÊö
21,normal;0,normal;0,deathmsg02,assetobject;1,d632e3f48f386d945a8145202af54999:103856,0,0,0,0,0,0,ÃèÊö
22,normal;0,normal;0,deathmsg2,assetobject;1,a6c925999e76abd489008d82ac379f8b:101362,0,0,0,0,0,0,ÃèÊö
23,normal;0,normal;0,deathmsg03,assetobject;1,afc05e91b07f56f41848664aa4199743:148398,0,0,0,0,0,0,ÃèÊö
24,normal;0,normal;0,deathmsg3,assetobject;1,e7e276d8d5a577d46a95cf5f7ee0a3de:156436,0,0,0,0,0,0,ÃèÊö
25,normal;0,normal;0,fiveseven_shoot,assetobject;1,e9aa869d24edf9640ae6f287de1f02fe:169536,0,0,0,0,0,0,ÃèÊö
26,normal;0,normal;0,fiveseven_shoot_sound,assetobject;1,3f59ac0325438bd428942306e8e45c52:8300000,0,0,0,0,0,0,ÃèÊö
27,normal;0,normal;0,local_run,assetobject;1,383fa144d740cc440aa7bc18602be00a:8300000,0,0,0,0,0,0,ÃèÊö
28,normal;0,normal;0,clipout,assetobject;1,7d2c0f2b82cf3704d802f11623667fc3:136006,0,0,0,0,0,0,ÃèÊö
29,normal;0,normal;0,clipin,assetobject;1,d2ab4221d46c30842ad34768d868983e:152338,0,0,0,0,0,0,ÃèÊö
30,normal;0,normal;0,grenade_1,assetobject;1,837ad8a38e9072148aed419a534f5750:114748,0,0,0,0,0,0,ÃèÊö
31,normal;0,normal;0,explosionA,assetobject;1,5eb03913fcfb2904584dbd6f91831cd7:168886,0,0,0,0,0,0,ÃèÊö
32,normal;0,normal;0,boltpull,assetobject;1,52cab93d62e5d774bb9370fb66bc95ca:143590,0,0,0,0,0,0,ÃèÊö
33,normal;0,normal;0,knifeattack,assetobject;1,567c0648f3c016642979f17789045896:100638,0,0,0,0,0,0,ÃèÊö
34,normal;0,normal;0,BulletTracer,assetobject;1,40969472316929142a4a8bc7837e0a88:100000,0,0,0,0,0,0,ÃèÊö
35,normal;0,normal;0,CraftItem,assetobject;1,212e5fcebb3ab0e4294bafbff7a63a01:100006,0,0,0,0,0,0,ÃèÊö
36,normal;0,normal;0,MetalIcon,assetobject;1,99eb7bd7032309a4d8088465c7e04178:21300020,0,0,0,0,0,0,ÃèÊö
37,normal;0,normal;0,tempIcon,assetobject;1,27a3934fd6b27cf49be96c0f56163e00:21300000,0,0,0,0,0,0,ÃèÊö
38,normal;0,normal;0,run_sd,assetobject;1,fdb24e51014fc8342bf15b618cc65555:8300000,0,0,0,0,0,0,ÃèÊö
39,normal;0,normal;0,jumpup_sd,assetobject;1,fbddfd1eb0635db408cc5cce3926f0da:8300000,0,0,0,0,0,0,ÃèÊö
40,normal;0,normal;0,jumpground_sd,assetobject;1,790911e396a73e54caab7bfe828bd289:100000,0,0,0,0,0,0,ÃèÊö
41,normal;0,normal;0,zombie_idle_sd,assetobject;1,967b50fdfb13f8a4088446fbaa7eefc8:100000,0,0,0,0,0,0,ÃèÊö
42,normal;0,normal;0,zombie_attack_sd,assetobject;1,1b1252362570ff1469fdb0df583e1a8a:100000,0,0,0,0,0,0,ÃèÊö
43,normal;0,normal;0,z_run_sd,assetobject;1,879a9d3709f271c4db002a8a3120707a:8300000,0,0,0,0,0,0,ÃèÊö
44,normal;0,normal;0,zombie_server,assetobject;1,73da0717f99e05b4ca45407c26843604:100038,0,0,0,0,0,0,ÃèÊö
45,normal;0,normal;0,viewknife_s,assetobject;1,cca80f9427136764fb94a11152265eaa:100024,0,0,0,0,0,0,ÃèÊö
46,normal;0,normal;0,Muzzle,assetobject;1,d584ed3562708614a87272ca1334f7a7:100006,0,0,0,0,0,0,ÃèÊö
47,normal;0,normal;0,BloodFXOther,assetobject;1,e74036a2fec47604d8d89a76268aaf5d:100000,0,0,0,0,0,0,ÃèÊö
48,normal;0,normal;0,joyPanel,assetobject;1,ce27f21eb08c92841886bca6ae8f3ffc:189048,0,0,0,0,0,0,ÃèÊö
49,normal;0,normal;0,impat_wall2,assetobject;1,985029ea531ea504d9ebc2e9ac36cd4a:100002,0,0,0,0,0,0,ÃèÊö
50,normal;0,normal;0,fishline,assetobject;1,e9d16568bba2df1488deec8ab8f7f85e:100000,0,0,0,0,0,0,ÃèÊö
51,normal;0,normal;0,buoys,assetobject;1,242860c34d3308f44a4e0c58f7195019:100000,0,0,0,0,0,0,ÃèÊö
52,normal;0,normal;0,throw_sound1,assetobject;1,7fd214084e1c10c43b3c0f1269d7fafb:100000,0,0,0,0,0,0,ÃèÊö
53,normal;0,normal;0,throw_sound2,assetobject;1,1d1b8364114289a4eb466191a3239515:100000,0,0,0,0,0,0,ÃèÊö
54,normal;0,normal;0,fish_touch,assetobject;1,e6c964f8a45d68442bb365c7bfc5d83e:100000,0,0,0,0,0,0,ÃèÊö
55,normal;0,normal;0,fishing_tension,assetobject;1,25d652dccbd2d824e8e2c850412e60ae:100000,0,0,0,0,0,0,ÃèÊö
56,normal;0,normal;0,fishing_cut,assetobject;1,7201ceb7354a68b48a2fe54d3b02642d:100000,0,0,0,0,0,0,ÃèÊö
57,normal;0,normal;0,fish_hit,assetobject;1,af328621e47e97743ae10a4073625bf7:100000,0,0,0,0,0,0,ÃèÊö
58,normal;0,normal;0,fish_splash,assetobject;1,87ed090cf4ddcf341b2919df177af682:100000,0,0,0,0,0,0,ÃèÊö
59,normal;0,normal;0,fish_jump,assetobject;1,7d65428b3b6898f40a824fb4a2d0ddba:100000,0,0,0,0,0,0,ÃèÊö
60,normal;0,normal;0,cut_wood,assetobject;1,5f45c32634ccfc44b8d97be3fe5e5328:100000,0,0,0,0,0,0,ÃèÊö
61,normal;0,normal;0,cut_wood_sound,assetobject;1,79ce112238098d7459820f81bd1e4a24:100000,0,0,0,0,0,0,ÃèÊö
62,normal;0,normal;0,swing,assetobject;1,587221073f36e6743a959ecb122a0641:100000,0,0,0,0,0,0,ÃèÊö
63,normal;0,normal;0,pickup_item,assetobject;1,58cd2b1a55667b34eb09be87b5888892:100000,0,0,0,0,0,0,ÃèÊö
64,normal;0,normal;0,bagitem,assetobject;1,0b7ee1047d4171d4d8d85f5f3c066a72:175832,0,0,0,0,0,0,ÃèÊö
65,normal;0,normal;0,drink_sound,assetobject;1,4af02a0acb76e6343982c2cd1ed0e4ba:100000,0,0,0,0,0,0,ÃèÊö
66,normal;0,normal;0,eat_sound,assetobject;1,a60acf1a860584e419e3f1fc19a2c7a3:100000,0,0,0,0,0,0,ÃèÊö
67,normal;0,normal;0,Projectiles01,assetobject;1,a6f5aa60bb1a7974fa40f1269815a92b:100000,0,0,0,0,0,0,ÃèÊö
68,normal;0,normal;0,engineNormal,assetobject;1,fe0ff90131dd99d4491da1c3e5697821:8300000,0,0,0,0,0,0,ÃèÊö
69,normal;0,normal;0,enginePower,assetobject;1,ff8bb0607aef780458797ec8856946ca:8300000,0,0,0,0,0,0,ÃèÊö
70,normal;0,normal;0,bagitembg,assetobject;1,c6b8c7b9ee3ba374aac38ca74cb0de58:100000,0,0,0,0,0,0,ÃèÊö
71,normal;0,normal;0,chatitem,assetobject;1,b01504d37135e5d43b32c0b52db9ec9a:100002,0,0,0,0,0,0,ÃèÊö
72,normal;0,normal;0,clickitem,assetobject;1,ab25ab6f7f44b9c498f10a363659fc52:100000,0,0,0,0,0,0,ÃèÊö
73,normal;0,normal;0,Acid,assetobject;1,2df474cbe5486a04cb6fb9d7d6c5078c:100000,0,0,0,0,0,0,ÃèÊö
74,normal;0,normal;0,SpiderModel,assetobject;1,40427705aa350ed4f8936bc33ee7bd36:100102,0,0,0,0,0,0,ÃèÊö
75,normal;0,normal;0,GhostEffect,assetobject;1,c5e52d9cb72ae1d4994ed1ddcde0f799:100012,0,0,0,0,0,0,ÃèÊö
76,normal;0,normal;0,lookover,assetobject;1,5a06be7e989173242949d4174753c294:100000,0,0,0,0,0,0,ÃèÊö
77,normal;0,normal;0,clock,assetobject;1,61244d245fca2e943a189c863b2da2cc:100000,0,0,0,0,0,0,ÃèÊö
78,normal;0,normal;0,resolve,assetobject;1,d8e2dcde8ad76704195d828f93e4c2f7:100000,0,0,0,0,0,0,ÃèÊö
79,normal;0,normal;0,repair,assetobject;1,69c1b51c36bac8e4dad2b3169ee24acc:100000,0,0,0,0,0,0,ÃèÊö
80,normal;0,normal;0,click,assetobject;1,e206e5c2e5b76dd48b58306fcf73d58b:100000,0,0,0,0,0,0,ÃèÊö
81,normal;0,normal;0,shortcut,assetobject;1,c601be2beb499b54b8bcf8fc36407200:100000,0,0,0,0,0,0,ÃèÊö
82,normal;0,normal;0,dryfire_pistol,assetobject;1,fdc8a1e9c1c83fe498ccccdec87ceeaa:100000,0,0,0,0,0,0,ÃèÊö
83,normal;0,normal;0,dryfire_rifle,assetobject;1,aef73e0a84440fd468778f90ff090f16:100000,0,0,0,0,0,0,ÃèÊö
