KEY,chs,english
ID_USER,用户,user
ID_PASS,密码,password
slime,史萊姆,slime
char,角 色,char
bag,背 包,pack
instance,副 本,instance
skill,技 能,skill
Grid,格子数,grid
craft,制 作,craft
click_fetch,(点击拾取),click fetch
gain_item,获得[%s],get<color=#c1f019ff>%s</color>
Pistol,手枪,
Rifle,步枪,
AssaultRifle,突击步枪,
SubmachineGun,冲锋枪,
Shotgun,散弹枪,
SniperRifle,狙击步枪,
Grenade,手雷,
Cannon,炮,
knife,小刀,
Axe,斧子,
Saw,锯子,
Hammer,锤子,
Stick,棍子,
Sword,大剑,
LongBow,弓,
CrossBow,弩,
WindStick,回旋镖,
FishRod,鱼竿,
Tool,工具,
gain_exp,<color=#d69414ff>经验值+%d</color>,<color=#d69414ff>EXP+%d</color>
weapon,武器,
equip,装备,
armor,防具,
decorate,饰品,
material,材料,
consume,消耗品,
drug,药品,
food,食物,
drink,饮料,
attack,攻击力,
defense,防御力,
life_percent,最大生命值增加d%%%,
durable,耐久度,
durable_extra,耐久度 +%d,
reduce_weight,物品重量减少d%%%,
attack_extra,攻击力 +%d,
attack_percent,攻击力增加d%%%,
defense_extra,防御力 +%d,
defense_percent,防御力增加d%%%,
critical_strike,致命一击几率增加d%%%,
reduce_injury,受到的伤害减少d%%%,
attack_speed,攻击速度增加d%%%,
reload_speed,装弹速度增加d%%%,
move_speed,移动速度增加d%%%,
lucky_extra,幸运值 +%d,
range_percent,攻击距离增加d%%%,
life_extra,生命值 +%d,
grid_extra,格子数 +%d,
use_drug,使用: 恢复%d点生命值,
use_water,使用: 恢复%d点口渴值,
use_food,使用: 恢复%d点饥饿值,
