tid,item1,count1,item2,count2,item3,count3,item4,count4,desc,desc,icon,model
1;1,4;2,5,0,0,0,0,0,0,木制小刀=木材x5,基础武器,1,1
1;2,4;3,5,4;2,5,0,0,0,0,铁质小刀=铁锭x5+木材x5,,1,1
1;3,4;3,5,4;2,5,0,0,0,0,菜刀=铁锭x5+木材x5,,1,1
1;4,4;2,10,3;205,2,0,0,0,0,十字架回旋镖=木材x5+线圈x2,基础投掷武器,1,1
1;7,4;3,5,0,0,0,0,0,0,扳手=铁锭x5,,1,1
1;8,4;3,5,4;2,5,0,0,0,0,手斧=铁锭x5+木材x5,,1,1
1;9,4;3,5,4;3,5,0,0,0,0,钢锯=铁锭x10+木材x5,,1,1
1;11,4;3,5,4;2,5,0,0,0,0,钉锤=铁锭x10+木材x5,,1,1
1;12,4;3,10,4;2,5,0,0,0,0,铁锤=铁锭x10,,1,1
1;13,4;2,10,0,0,0,0,0,0,木棍=木材x10,,1,1
1;14,4;3,10,0,0,0,0,0,0,铁棍=铁锭x10,,1,1
1;16,4;2,10,3;205,2,0,0,0,0,木弓=木板x10+线圈x2,基础射击武器,1,1
1;23,4;3,15,4;2,10,0,0,0,0,自制手枪=钢锭x15+木材x10,基础射击武器,1,1
1;28,4;3,20,4;2,10,0,0,0,0,自制猎枪=钢锭x20+木材x10,基础射击武器,1,1
1;41,4;3,10,4;2,10,0,0,0,0,铁铲=铁锭x15+木材x10,,1,1
1;42,4;3,15,0,0,0,0,0,0,铁管=铁锭x20,,1,1
1;44,4;2,15,4;3,5,0,0,0,0,船桨=木材x15+铁锭x5,,1,1
1;45,4;2,15,4;3,10,0,0,0,0,草叉=优质木板x15+铁锭x10,,1,1
1;47,4;2,15,4;3,10,0,0,0,0,十字镐=优质木板x15+铁锭x10,,1,1
1;48,4;2,15,4;3,10,0,0,0,0,钉耙=优质木板x15+铁锭x10,,1,1
3;201,3;200,5,4;2,2,0,0,0,0,箭矢x5=铁钉x5+木板x2(弹药大量稳定的消耗),弹药,1,1
3;200,4;3,1,0,0,0,0,0,0,铁钉x5=铁锭x1(弹药大量稳定的消耗),射钉枪弹药，箭矢材料,1,1
3;102,4;1,2,0,0,0,0,0,0,绷带x1=布条x2(治疗大量稳定的消耗),,1,1
3;205,4;9,3,0,0,0,0,0,0,线卷=蛛网x3,,1,1
2;100,4;1,10,3;205,5,0,0,0,0,手提背包 = 布料x20+线卷x5,增加负重,1,1
1;66,4;3,1,0,0,0,0,0,0,飞镖x5 = 铁锭x1(弹药大量稳定的消耗),消耗型投掷武器,1,1
3;207,4;3,5,0,0,0,0,0,0,捕兽夹x1=铁锭x5(弹药大量稳定的消耗),陷阱,1,1
