id,item1,chance1,item2,chance2,item3,chance3,item4,chance4,item5,chance5,item6,chance6,item7,chance7,item8,chance8,item9,chance9,item10,chance10,desc
0,1;3,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,默认掉落
1,28;3,2500,24;3,2500,25;3,2500,19;3,2500,0,0,0,0,0,0,0,0,0,0,0,0,糕点糖果食物
2,2;1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,掉落饮料
3,3;1,500,3;2,500,3;4,500,3;5,500,3;7,500,3;8,500,3;9,500,3;10,500,3;11,500,3;19,500,掉落食物
4,3;21,500,3;23,500,3;24,500,3;25,500,3;27,500,3;28,500,3;30,500,3;34,500,3;35,500,3;37,500,掉落食物
5,3;51,500,3;55,500,,,,,,,,,,,,,,,,,掉落食物
6,3;202,500,,,,,,,,,,,,,,,,,,,掉落子弹
7,3;203,500,,,,,,,,,,,,,,,,,,,掉落子弹
8,3;204,500,,,,,,,,,,,,,,,,,,,掉落子弹
9,2;1,500,2;22,500,2;23,500,2;24,500,2;25,500,2;26,500,2;27,500,2;28,500,2;29,500,2;31,500,掉落服装
10,2;32,500,2;46,500,2;65,500,,,,,,,,,,,,,,,掉落服装
